passengerods_plazainfo.plazainfoid,passengerods_plazainfo.branchid,passengerods_plazainfo.plazacode,passengerods_plazainfo.plazaname,passengerods_plazainfo.zoneid,passengerods_plazainfo.active,passengerods_plazainfo.businessstartdate,passengerods_plazainfo.plazacentury,passengerods_plazainfo.plazarate,passengerods_plazainfo.buildarea,passengerods_plazainfo.rentarea,passengerods_plazainfo.primarystorerentarea,passengerods_plazainfo.vicestorearea,passengerods_plazainfo.normalstorerentarea,passengerods_plazainfo.parkingcount,passengerods_plazainfo.cityname,passengerods_plazainfo.citylevel,passengerods_plazainfo.districttype,passengerods_plazainfo.owner,passengerods_plazainfo.phonenumber,passengerods_plazainfo.fax,passengerods_plazainfo.address,passengerods_plazainfo.busiarea,passengerods_plazainfo.comments,passengerods_plazainfo.createddate,passengerods_plazainfo.modifieddate,passengerods_plazainfo.deleteddate,passengerods_plazainfo.ts,passengerods_plazainfo.managedarea,passengerods_plazainfo.plazatype,passengerods_plazainfo.businessdate,passengerods_plazainfo.totalbuildingarea,passengerods_plazainfo.businessbuildingarea,passengerods_plazainfo.ysid,passengerods_plazainfo.indexcode,passengerods_plazainfo.cfcompanyid,passengerods_plazainfo.plazalevel2,passengerods_plazainfo.cityid,passengerods_plazainfo.operatingcycle,passengerods_plazainfo.operatingcycletype,passengerods_plazainfo.fullplazaname,passengerods_plazainfo.assettype,passengerods_plazainfo.bhflag,passengerods_plazainfo.bhexittime
41,41,SG14,合肥包河,29,true,2010-12-23 00:00:00.0,,,,98873.00,75466.00,0.00,23407.00,1088,合肥,1498,1,中南,,,,122157.49,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.457,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d3,5395,3,,122157.49,97620.69,1000110,SG14,4350,A类,47,90,4,合肥包河万达广场,1,1,1900-01-01 00:00:00.0
42,42,SG15,江苏淮安,5,true,2011-01-07 00:00:00.0,,,,93818.00,66798.00,0.00,27020.00,0,淮安,1501,,华东,,,,114769.76,,2011-03-30 18:10:26.33,2018-06-05 00:00:00.46,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d4,5490,3,,114769.76,94065.88,1000270,SG15,4413,B类,209,89,4,淮安万达广场,1,0,2015-04-30 00:00:00.0
43,43,QY1204,宁波鄞州,13,true,2006-12-22 00:00:00.0,,,,193359.00,162177.00,0.00,31182.00,0,宁波,1498,,东南,,,,202293.91,,2011-05-06 16:09:06.78,2018-06-05 00:00:00.46,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d5,5563,4,,202293.91,169271.68,1000109,QY1204,4394,A类,373,138,5,宁波鄞州万达广场,1,0,1900-01-01 00:00:00.0
44,44,QY1003,上海江桥,11,true,2011-06-18 00:00:00.0,,,,104318.00,67325.00,0.00,36993.00,0,上海,1497,,华东,,,,134068.32,,2011-05-24 12:50:56.89,2018-06-05 00:00:00.46,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d6,5490,2,,134068.32,104020.78,1000108,QY1003,4377,A类,39,84,4,上海江桥万达广场,1,0,2015-09-30 00:00:00.0
45,45,45,武汉经开,8,,2011-08-27 00:00:00.0,,,,86447.00,64216.00,0.00,22231.00,500,武汉,1498,1,华中,,,,106097.62,,2011-07-27 08:32:55.637,2018-06-05 00:00:00.46,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d7,5618,2,,106097.62,85796.96,1000301,45,4357,A类,179,82,4,武汉经开万达广场,1,0,2015-10-10 00:00:00.0
46,46,46,江苏镇江,5,,2011-08-12 00:00:00.0,,,,76408.00,53639.00,0.00,22769.00,0,镇江,1501,,华东,,,,97035.96,,2011-07-27 08:34:53.623,2018-06-05 00:00:00.46,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d8,5490,2,,98358.16,75036.12,1000278,46,4354,B类,220,82,4,镇江万达广场,1,0,2015-08-31 00:00:00.0
47,47,47,厦门湖里,32,,2011-09-02 00:00:00.0,,,,98247.00,74422.00,0.00,23825.00,99,厦门,1498,1,东南,,,,119073.60,,2011-08-11 15:08:42.95,2018-06-05 00:00:00.46,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 d9,5563,2,,119073.60,97182.88,1000267,47,4361,A类,64,81,4,厦门湖里万达广场,1,1,1900-01-01 00:00:00.0
48,48,48,银川金凤,44,,2011-09-09 00:00:00.0,,,,89157.00,62566.00,0.00,26591.00,0,银川,1499,,西北,,,,107462.05,,2011-08-11 15:11:41.87,2018-06-05 00:00:00.463,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 da,5565,2,,107807.61,88305.20,1000283,48,4353,A类,262,81,4,银川金凤万达广场,1,1,1900-01-01 00:00:00.0
49,49,49,石家庄裕华,10,,2011-09-23 00:00:00.0,,,,116464.00,90664.00,0.00,25800.00,0,石家庄,1498,,华北,,,,138894.47,,2011-08-30 19:12:15.537,2018-06-05 00:00:00.463,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 db,5503,2,,143073.75,115028.25,1000269,49,4371,A类,133,81,4,石家庄裕华万达广场,1,1,1900-01-01 00:00:00.0
50,50,50,武汉楚河汉街,8,,2011-09-30 00:00:00.0,,,,94790.00,0.00,0.00,94790.00,0,武汉,1498,,华中,,,,99537.90,,2011-09-13 10:43:51.823,2018-06-05 00:00:00.463,1900-01-01 00:00:00.0,00 00 00 00 06 29 61 dc,5618,2,,99537.90,95373.87,1000286,50,5303,A类,179,81,4,武汉中央文化区楚河汉街,1,0,1900-01-01 00:00:00.0
