merchant_plazainfo.plazaid,merchant_plazainfo.plazaname,merchant_plazainfo.plazacode,merchant_plazainfo.plazanameshort,merchant_plazainfo.areaid,merchant_plazainfo.opendate,merchant_plazainfo.shooppingceterarea,merchant_plazainfo.mainstorearea,merchant_plazainfo.innerpedestrianarea,merchant_plazainfo.areaofpark,merchant_plazainfo.shoppingceterprakcount,merchant_plazainfo.plazarechargetype,merchant_plazainfo.leasesystemid,merchant_plazainfo.propertysystemid,merchant_plazainfo.customsalessystemid,merchant_plazainfo.customercomplaintssystemid,merchant_plazainfo.othersystemid1,merchant_plazainfo.othersystemid2,merchant_plazainfo.othersystemid3,merchant_plazainfo.listindex,merchant_plazainfo.weatherregion,merchant_plazainfo.weatherurl,merchant_plazainfo.startworktimeam,merchant_plazainfo.guittingtimeam,merchant_plazainfo.startworktimepm,merchant_plazainfo.guittingtimepm,merchant_plazainfo.ledword,merchant_plazainfo.dmbword,merchant_plazainfo.monday_bg,merchant_plazainfo.monday_end,merchant_plazainfo.tuesday_bg,merchant_plazainfo.tuesday_end,merchant_plazainfo.wednesday_bg,merchant_plazainfo.wednesday_end,merchant_plazainfo.thursday_bg,merchant_plazainfo.thursday_end,merchant_plazainfo.friday_bg,merchant_plazainfo.friday_end,merchant_plazainfo.saturday_bg,merchant_plazainfo.saturday_end,merchant_plazainfo.sunday_bg,merchant_plazainfo.sunday_end
000000000000000000000000000001001986,绵阳CBD,MYCBD,,,2018-12-21 00:00:00.0,,,,,,,1001986,1001986,1001986,,,,,,,,,,,,200,200,,,,,,,,,,,,,,
000000000000000000000000000001001067,北京CBD万达广场,BJCBD,,4406,2006-12-28 00:00:00.0,,,,,,,1001067,1001067,1001067,,,,,,,,,,,,200,200,,,,,,,,,,,,,,
000000000000000000000000000001001065,长春重庆路万达广场,CCCQL,,4369,2003-01-16 00:00:00.0,,,,,,,1001065,1001065,1001065,,,,,,,,,,,,200,200,,,,,,,,,,,,,,
000000000000000000000000000001001064,南昌八一万达广场,NCBY,,5431,2003-08-28 00:00:00.0,,,,,,,1001064,1001064,1001064,,,,,,,,,,,,200,200,,,,,,,,,,,,,,
000000000000000000000000000001001066,青岛台东路万达广场,QDTDL,,4389,2003-09-25 00:00:00.0,0,0,0,0,0,1,1001066,1001066,1001066,,,,,0,青岛,http://m.weather.com.cn/atad/101120201.html,,,,,200,200,2017-09-06 09:30:00.0,2017-09-06 17:30:00.0,2017-09-06 09:30:00.0,2017-09-06 17:30:00.0,2017-09-06 09:30:00.0,2017-09-06 17:30:00.0,2017-09-06 09:30:00.0,2017-09-06 17:30:00.0,2017-09-06 09:30:00.0,2017-09-06 17:30:00.0,2017-09-06 09:30:00.0,2017-09-06 17:30:00.0,2017-09-06 09:30:00.0,2017-09-06 17:30:00.0
000000000000000000000000000001001129,三门峡万达广场,SMX,,5439,2016-10-21 00:00:00.0,0,0,0,0,0,3,1001129,1001129,1001129,,,,,0,三门峡,http://m.weather.com.cn/atad/101181701.html,,,,,200,200,2017-08-12 09:30:00.0,2017-08-12 22:00:00.0,2017-08-12 09:30:00.0,2017-08-12 22:00:00.0,2017-08-12 09:30:00.0,2017-08-12 22:00:00.0,2017-08-12 09:30:00.0,2017-08-12 22:00:00.0,2017-08-12 09:30:00.0,2017-08-12 22:00:00.0,2017-08-12 09:30:00.0,2017-08-12 22:00:00.0,2017-08-12 09:30:00.0,2017-08-12 22:00:00.0
000000000000000000000000000001001744,青岛东方影都万达茂,QDDFYDWDM,,5568,2018-04-28 00:00:00.0,0,0,0,0,0,3,1001744,1001744,1001744,,,,,0,胶南,http://m.weather.com.cn/atad/101120206.html,,,,,200,200,2018-04-20 10:00:00.0,2018-04-20 21:30:00.0,2018-04-20 10:00:00.0,2018-04-20 21:30:00.0,2018-04-20 10:00:00.0,2018-04-20 21:30:00.0,2018-04-20 10:00:00.0,2018-04-20 21:30:00.0,2018-04-20 10:00:00.0,2018-04-20 22:00:00.0,2018-04-20 10:00:00.0,2018-04-20 22:00:00.0,2018-04-20 10:00:00.0,2018-04-20 22:00:00.0
000000000000000000000000000001001150,阜阳颍泉万达广场,FY*Q,,5440,2017-06-16 00:00:00.0,0,0,0,0,0,3,1001150,1001150,1001150,,,,,0,阜阳,http://m.weather.com.cn/atad/101220801.html,,,,,200,200,2017-06-11 09:30:00.0,2017-06-11 21:30:00.0,2017-06-11 09:30:00.0,2017-06-11 21:30:00.0,2017-06-11 09:30:00.0,2017-06-11 21:30:00.0,2017-06-11 09:30:00.0,2017-06-11 21:30:00.0,2017-06-11 09:30:00.0,2017-06-11 22:00:00.0,2017-06-11 09:30:00.0,2017-06-11 22:00:00.0,2017-06-11 09:30:00.0,2017-06-11 21:30:00.0
000000000000000000000000000001001139,辽阳万达广场,LY,,5449,2017-07-28 00:00:00.0,0,0,0,0,0,3,1001139,1001139,1001139,,,,,0,辽阳,http://m.weather.com.cn/atad/101071001.html,,,,,200,200,2017-07-23 09:30:00.0,2017-07-23 21:30:00.0,2017-07-23 09:30:00.0,2017-07-23 21:30:00.0,2017-07-23 09:30:00.0,2017-07-23 21:30:00.0,2017-07-23 09:30:00.0,2017-07-23 21:30:00.0,2017-07-23 09:30:00.0,2017-07-23 21:30:00.0,2017-07-23 09:30:00.0,2017-07-23 21:30:00.0,2017-07-23 09:30:00.0,2017-07-23 21:30:00.0
000000000000000000000000000001001628,大同万达广场,DT,,5535,2017-10-20 00:00:00.0,0,0,0,0,0,3,1001628,1001628,1001628,,,,,0,大同,http://m.weather.com.cn/atad/101100201.html,,,,,200,200,2017-09-29 10:00:00.0,2017-09-29 22:00:00.0,2017-09-29 10:00:00.0,2017-09-29 22:00:00.0,2017-09-29 10:00:00.0,2017-09-29 22:00:00.0,2017-09-29 10:00:00.0,2017-09-29 22:00:00.0,2017-09-29 10:00:00.0,2017-09-29 22:00:00.0,2017-09-29 10:00:00.0,2017-09-29 22:00:00.0,2017-09-29 10:00:00.0,2017-09-29 22:00:00.0
