passenger_dimplaza.plazakey,passenger_dimplaza.plazainfoid,passenger_dimplaza.branchid,passenger_dimplaza.plazaid,passenger_dimplaza.plazaname,passenger_dimplaza.zonecode,passenger_dimplaza.zonename,passenger_dimplaza.busiarea,passenger_dimplaza.buildarea,passenger_dimplaza.rentarea,passenger_dimplaza.primarystorerentarea,passenger_dimplaza.normalstorerentarea,passenger_dimplaza.parkingcount,passenger_dimplaza.cityname,passenger_dimplaza.citylevel,passenger_dimplaza.districttype,passenger_dimplaza.owner,passenger_dimplaza.address,passenger_dimplaza.deleteddate,passenger_dimplaza.opendate,passenger_dimplaza.plazacentury,passenger_dimplaza.plazarate,passenger_dimplaza.managedarea,passenger_dimplaza.plazatype,passenger_dimplaza.businessdate,passenger_dimplaza.totalbuildingarea,passenger_dimplaza.businessbuildingarea,passenger_dimplaza.ysid,passenger_dimplaza.vicestorearea,passenger_dimplaza.indexcode
273,218,211,DL1286,大连庄河,QY22,大连,79859.13,,55557.00,24164.00,31393.00,,大连,1498,,东北,,1900-01-01 00:00:00.0,2017-08-18 00:00:00.0,,,5502,0,,79859.13,55557.74,1001286,0.00,
289,234,227,DL1564,大连甘井子,QY22,大连,92542.63,,59242.00,23614.00,35628.00,,大连,1498,,东北,,1900-01-01 00:00:00.0,2017-09-29 00:00:00.0,,,5502,0,,93644.74,58428.35,1001564,0.00,
104,77,77,DLGX,大连高新,QY22,大连,129811.68,,110097.00,84734.00,25363.00,0,大连,1498,,东北,,1900-01-01 00:00:00.0,2013-05-25 00:00:00.0,,,5502,1,,133039.55,107597.05,1000423,0.00,DLGX
172,143,136,DLKFQ,大连开发区,QY22,大连,97575.32,,69020.00,40816.00,28204.00,0,大连,1498,,东北,,1900-01-01 00:00:00.0,2015-08-29 00:00:00.0,,,5502,1,,98445.32,69004.65,1001005,0.00,DLKFQ
244,215,208,DLWDZX,大连万达中心,QY22,大连,59698.48,,,,,,大连,1498,,东北,,2018-01-04 19:41:12.067,2012-02-25 00:00:00.0,,,5502,0,,59698.48,59698.48,1001204,0.00,DLWDZX
376,321,314,DQ1884,大庆让胡路,5564,黑龙江,,,,,,,大庆,1499,,东北,,2018-12-24 00:00:00.0,2018-12-23 00:00:00.0,,,5502,0,,,,1001884,0.00,
301,246,239,DT1628,山西大同,QY24,太原,103853.83,,67962.00,28650.00,39312.00,,大同,1501,,华中,,1900-01-01 00:00:00.0,2017-10-20 00:00:00.0,,,5618,0,,104276.99,67407.25,1001628,0.00,
169,140,133,DY,山东东营,QY02,济南,95140.45,,65185.00,35924.00,29261.00,0,东营,1501,,华北,,1900-01-01 00:00:00.0,2015-08-15 00:00:00.0,,,5503,1,,95756.70,65271.32,1000985,0.00,DY
218,189,182,DY1125,四川德阳,QY13,成都,88776.47,,65773.00,32144.00,33629.00,0,德阳,1501,,西南,,1900-01-01 00:00:00.0,2016-09-17 00:00:00.0,,,5397,1,,88776.47,65274.42,1001125,0.00,DY
334,279,272,DY1806,东营东城,QY02,济南,85741.26,,58488.00,24568.00,33920.00,,东营,1501,,华北,,2018-07-13 00:00:00.0,2018-07-12 00:00:00.0,,,5503,0,,85741.26,58264.67,1001806,0.00,
177,148,141,DZ,山东德州,QY02,济南,91703.69,,64797.00,38612.00,26185.00,0,德州,1501,,华北,,1900-01-01 00:00:00.0,2015-11-06 00:00:00.0,,,5503,1,,93156.23,62779.20,1001011,0.00,DZ
323,268,261,DZ1650,丹寨万达小镇,QY026,昆明,38997.82,,37962.00,2674.00,35288.00,,丹寨,1501,,西南,,1900-01-01 00:00:00.0,2017-07-01 00:00:00.0,,,5397,0,,38997.82,37962.16,1001650,0.00,
348,293,286,EE1820,鄂尔多斯,QY32,呼和浩特,,,,,,,鄂尔多斯,1501,,西北,,2019-10-01 00:00:00.0,2019-09-30 00:00:00.0,,,5565,0,,,,1001820,0.00,
237,208,201,FJ1153,福建三明,QY14,福州,88316.08,,64521.00,30887.00,33634.00,0,三明,1501,,东南,,1900-01-01 00:00:00.0,2016-12-30 00:00:00.0,,,5563,1,,88316.08,64521.39,1001153,0.00,FJSM
350,295,288,FJ1822,福建南平,QY14,福州,29550.00,,54961.00,27085.00,27876.00,,南平,1498,,东南,,2018-09-22 00:00:00.0,2018-12-01 00:00:00.0,,,5563,0,,29550.00,29550.00,1001822,0.00,
140,113,113,FQ,福建福清,QY14,福州,85402.85,,65080.00,43434.00,21646.00,0,福清,1501,,东南,,1900-01-01 00:00:00.0,2014-12-05 00:00:00.0,,,5563,1,,85637.86,65036.53,1000768,0.00,FQ
114,87,87,FS,辽宁抚顺,QY05,沈阳,121614.15,,86372.00,53152.00,33220.00,0,抚顺,1499,,东北,,1900-01-01 00:00:00.0,2013-10-25 00:00:00.0,,,5502,1,,121614.15,84468.22,1000547,0.00,FS
223,194,187,FS1133,佛山三水,SG13,广州,88715.32,,64220.00,29305.00,34915.00,0,佛山,1498,,华南,,1900-01-01 00:00:00.0,2016-11-18 00:00:00.0,,,5396,1,,88715.32,64219.10,1001133,0.00,FSSS
132,105,105,FSNH,佛山南海,SG13,广州,100630.78,,72251.00,46413.00,25838.00,0,佛山,1498,,华南,,1900-01-01 00:00:00.0,2014-08-29 00:00:00.0,,,5396,1,,101143.30,72302.50,1000706,0.00,FSNH
339,284,277,FX1811,辽宁阜新,QY05,沈阳,98429.46,,65115.00,24910.00,40205.00,,阜新,1501,,东北,,2018-08-11 00:00:00.0,2018-08-10 00:00:00.0,,,5502,0,,98429.46,65358.09,1001811,0.00,
234,205,198,FY1150,阜阳颍泉,SG14,合肥,86584.20,,64055.00,31744.00,32311.00,,阜阳,1499,,中南,,1900-01-01 00:00:00.0,2017-06-16 00:00:00.0,,,5395,0,,88409.64,64055.41,1001150,0.00,FY*Q
173,144,137,FYYZ,阜阳颍州,SG14,合肥,91173.81,,69533.00,45706.00,23827.00,0,阜阳,1499,,中南,,1900-01-01 00:00:00.0,2015-08-29 00:00:00.0,,,5395,1,,91878.18,69532.18,1001006,0.00,FYYZ
235,206,199,FZ1151,江西抚州,QY19,南昌,98008.87,,70025.00,32128.00,37897.00,,抚州,1501,,中南,,1900-01-01 00:00:00.0,2017-06-16 00:00:00.0,,,5395,0,,98008.87,70025.37,1001151,0.00,FZ
157,128,121,FZQYSGGS,福州区域商管公司,QY14,福州,,,,,,,,,,,,2014-06-25 00:00:00.0,2014-06-25 00:00:00.0,,,,0,,,,1000844,0.00,FZQYSGGS
195,166,159,GD1110,广东湛江,SG13,广州,92061.34,,66095.00,43507.00,22588.00,0,湛江,1499,,华南,,1900-01-01 00:00:00.0,2016-06-25 00:00:00.0,,,5396,1,,92061.34,64445.27,1001110,0.00,GDZJ
373,318,311,GG1846,广西贵港,QY46,南宁,,,,,,,贵港,1501,,华南,,2018-12-30 00:00:00.0,2018-12-29 00:00:00.0,,,5396,0,,,,1001846,0.00,
310,255,248,GL1637,桂林叠彩,QY46,南宁,101061.64,,68000.00,31041.00,36959.00,,桂林,1499,,华南,,1900-01-01 00:00:00.0,2017-11-24 00:00:00.0,,,5396,0,,101505.03,67187.35,1001637,0.00,
166,137,130,GLQX,桂林高新,QY46,南宁,97311.21,,66084.00,38562.00,27522.00,0,桂林,1499,,华南,,1900-01-01 00:00:00.0,2015-09-12 00:00:00.0,,,5396,1,,98100.78,66084.18,1000924,0.00,GLQX
320,265,258,GY1647,贵阳观山湖,QY026,昆明,119692.78,,75037.00,30702.00,44335.00,,贵阳,1501,,西南,,1900-01-01 00:00:00.0,2018-05-25 00:00:00.0,,,5397,0,,120735.44,76278.17,1001647,0.00,
370,315,308,GZ1843,广州新塘,SG13,广州,,,59943.00,25500.00,34443.00,,广州,1497,,华南,,2018-12-29 00:00:00.0,2018-12-28 00:00:00.0,,,5396,0,,,,1001843,0.00,
107,80,80,GZFY,广州番禺,SG13,广州,99908.40,,82948.00,60701.00,22247.00,0,广州,1497,,华南,,1900-01-01 00:00:00.0,2014-11-08 00:00:00.0,,,5396,1,,103801.76,81757.20,1000503,0.00,GZFY
162,133,126,GZLG,广州萝岗,SG13,广州,93412.57,,71013.00,49150.00,21863.00,0,广州,1497,,华南,,1900-01-01 00:00:00.0,2015-07-17 00:00:00.0,,,5396,1,,93588.77,71012.34,1000904,0.00,GZLG
